Rank,Name,Ratings,Price
50,"Pink Pari 2 m Aluminium Foil Stickers, Oil Proof , Kitchen Backsplash Wallpaper Self-Adhesive Wall Sticker Anti-Mold and H...",3.9,4899
51,"Rey Naturals Lavender Essential Oil for Hair,Skin|100% Pure Lavender Oil with Natural Lavandula Angustifolia EXtract |Calm...",4,4800
52,"Ryme Artificial Wild Grass Plant With Pot For Home And Office Decoration (Set Of 4, 4)( Set Of 4), Green",4,4899
53,"SADHUSADHYA 21 Shape of Mirror Craft (TOTAL-2100 Pices,100 Piece of Each Shape)",5,4899
54,TIMESETL Wood Coper Wind Chime for Home Bedroom Balcony Garden Etc. for (Decorate Item),4.1,"48,599"
55,"Blooming Floret Artificial Monstera Plant with Black Pot for Home, Office Decor | 18 Medium Size Leaves Plant with Pot",3.4,"48,000"
56,"Asian Paints Wall-Ons Scootaway Wall Sticker (PVC Vinyl, 0.01 cm X 76.2 cm X 30.48 cm) (AS05M)",3.9,4865
57,SAF 7 Horses River Large Framed UV Coated Digital Reprint 14 Inch X 20 Inch Painting (SANFH11) SANFH11(multicolor1),3.9,"48,999"
58,"Ajanta Quartz Plastic Abstract Rectangle Digital Alarm Wall Clock (Black and Brown, 29 cm X 19 cm X 2.5 cm, ODC 130)",3.7,"48,025"
59,"Generic PnF Durga Maa Religious Wood Photo Frames with Acrylic Sheet (Glass) for Worship/Pooja(photoframe,Multicolour,8X6i...",4.2,4899
60,Pauwer 12 Pack (43.2 FT) Artificial Wisteria Vine Ratta Fake Wisteria Hanging Garland Silk Long Hanging Bush Flowers Strin...,4,4899
61,"HOLD UP Led Vanity Lights for Mirror, Hollywood Style LED Vanity Mirror Lights Kit 10 Dimmable Light Bulbs 3 Color Modes, ...",4.2,"48,499"
62,Urban Hamlet Iron Decorative Mirror Wall Mounted Hanging Mirror Sculpture Metal Golden Rose Design Modern Art Mirror for H...,4.2,"48,999"
63,Shubhkart Nirmal 5 in 1 Agarbatti Zipper Pack 150grams - 9 Inch Long Sticks (Pack of 2)?22.86cm Long Sticks (Combo of 2)|...,5,4840
64,"Painting Mantra Art Street Boulevard Photo Frame Set of 11 Picture Frames for Wall Hanging (8X10-3 pcs, 6X8-8 pcs)-Black a...",4.2,"48,399"
65,"Golden bird 7.5 Inch Tall Glass Flower Vases, Bulk Plant Vases,1 Pack Modern Flower Vases for Home Dcor, Modern Decorativ...",4.4,4899
66,Art Street A4 Document Photo Frame set of 2 Black Photo Frames for Home and Office decoration (Photo Size 8 X 12 Inches),3.9,4899
67,Vintage Clock Iron Hand-Crafted Large Brass Colour Wall Clock (60 X 60 cm),4.1,"480,596"
68,TIED RIBBONS Door Hanging Bandanwar Toran (101.6 cm X 10.1 cm) - Decoration Items for Home Dcor Bandanwar Toran for Main ...,4.2,4899
69,PRIMESKY Alarm Clock Brass Vintage Twin Bell Table Top Alarm Clock with Night Led Light Display Alarm Clock for Bedroom He...,3.8,4899
70,Arsalan Arslan Decorative Mirror Wall Mounted Hanging Mirror Sculpture Metal Leaf Design Modern Art Mirror Home Decor (60 ...,4.6,"48,999"
71,Oblivion Home Decoration Showpiece - Polyresin Miniature Buddha Monk Figurines Showpiece 6 cm - Pack of 4 (Multicolor),4.6,4885
72,"Perpetual Radha Krishna Wall Painting For Living Room - Set Of 5, 3d Scenery Wall Painting for Bedroom Large Size with Fra...",4.3,"48,699"
73,Collectible India 3.4-inch Cold Cast Bronze Lord Shiv Idol as Gifts (Multicolour),4.6,"48,899"
74,SAF Panchmukhi Hanuman Framed Acrylic Glass Painting 14 inch X 11 inch SANFR33(Multicolor),4.4,4899
75,TIED RIBBONS Ganesha Statue Playing Bansuri with with Wooden Flower Tealight Candle Holder Colorful Stones and Wooden Base...,4.4,4899
76,Pure Source India Porcelain RelaXing Fragrance Aroma Set with 10 ml Aroma Oil and 4 Tea Light Candles (White),4.3,"48,250"
77,SAF Set of 3 Beautiful Flower Pot UV TeXtured Self adeshive wall painting for living room with mdf 18 Inch X 12 Inch SANFJ...,3.7,4899
78,Aviraj (72 Cups) Guggal Dhoop Cup Sambrani Original I Loban Dhoop Cups for Pooja Pack of 6 Tray,3.9,"48,200"
79,FOKRIM Black Marble Self Adhesive Wall Stickers Oil-Proof Waterproof Peel & Stick Contact Wallpaper for Kitchen Living Roo...,3.5,4899
