Name,Price,Category,image
"Homenique Artificial Leaf Money Plant Greenery Fake Hanging Vine Plants Leaf Garland Hanging for Wedding Home Decoration, ...","50,350",Home Furnishing,https://m.media-amazon.com/images/I/81Na4VCwgDS._AC_UL320_.jpg
"SAF Set of 3 Buddha UV TeXtured Home Decorative Gift Item Painting , 18 Inch X 12 Inch - SANFJM31046, Figures, Religious",5099,Home Furnishing,https://m.media-amazon.com/images/I/61wu5AOuAfS._AC_UL320_.jpg
"Mangaldeep Puja Agarbatti, Sandal, 60 Sticks (Pack of 2)",500,Home Furnishing,https://m.media-amazon.com/images/I/81FXb9pmHdL._AC_UL320_.jpg
Krisah 1 pcs Lab Tested ISI Seal Original Sandalwood Scented Processed Mysore Chandan Sticks 30-40 Gram for Puja,"50,345",Home Furnishing,https://m.media-amazon.com/images/I/61DcvGB107L._AC_UL320_.jpg
"HIVAGI Aromatherapy Essential Oil Diffuser with Flame Light, 180mL Quiet Mist Humidifiers for Essential Oils Home Aroma A...","50,000",Home Furnishing,https://m.media-amazon.com/images/I/51NmAVTPhxL._AC_UL320_.jpg
"Amazon Brand - Solimo Collage Set of 11 Black Photo Frames ( 4 X 6 Inch - 2 & 5 X 5 Inch - 6, 5 X 7 inch - 2 & 8 X 10 inch...",5070,Home Furnishing,https://m.media-amazon.com/images/I/61u37A47BmL._AC_UL320_.jpg
"Basement Bazaar Mahi Glass Hookah (24.8 cm, Black)",5049,Home Furnishing,https://m.media-amazon.com/images/I/51hBBC+C63L._AC_UL320_.jpg
"Reflekt Premium Hand Soap Sheets (Lavender) - Pack Of 80 Sheets In Storage Tin BoX | Moisturising Formula, Effective On Ge...",5099,Home Furnishing,https://m.media-amazon.com/images/I/41Nsg6P+aSL._AC_UL320_.jpg
"PRINTNET Pack of 28 BTS Polaroid photocards Collection for BTS Fans, Multicolour",5029,Home Furnishing,https://m.media-amazon.com/images/I/61un-T16bYL._AC_UL320_.jpg
SPHINX Artificial Marigold Fluffy Flowers Garlands Double line Door Toran Set/Door Hangings for Home Office Decoration (Ap...,5099,Home Furnishing,https://m.media-amazon.com/images/I/71PewjbMeFL._AC_UL320_.jpg
Aditya Shopping Electric Ceramic Kapoor Dani/Aroma Oil Burner Cum Night Lamp with Switch Design (Style 03),5099,Home Furnishing,https://m.media-amazon.com/images/I/51D54r9lGHL._AC_UL320_.jpg
World Fire Home Deco Purifying Brass Dhuna Loban Burner(Round),"50,400",Home Furnishing,https://m.media-amazon.com/images/I/61f3mxtQcrL._AC_UL320_.jpg
"natureCRAFTS Wooden Coasters for Drinks Set of 6 with Iron Holder, Wooden and Iron Tea Coaster to Prevent Furniture from B...",5099,Home Furnishing,https://m.media-amazon.com/images/I/71spMTWrbfL._AC_UL320_.jpg
Gopz FleXible Mirror Sheets Self-Adhesive Plastic Mirror Tiles Non-Glass Mirror Stickers for Home Decoration [Size:- 30cm*...,5099,Home Furnishing,https://m.media-amazon.com/images/I/31+W3bgdDZL._AC_UL320_.jpg
"Itiha Gudi showpiece with Artificial Upturned Copper Vessel,Orange Saree, Leaf with Supari and Kalash on Wooden Base Gudi ...",5099,Home Furnishing,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/71xdArkGYaL._AC_UL320_.jpg
"Adiyogi Shiva Statue for Car Dash Board, Pooja & Gift, Mahadev Murti, Idol, Lord Adiyogi Shankara for home decor",5099,Home Furnishing,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/71zVQAI8NUL._AC_UL320_.jpg
DeLush Designs Delush2.4 inch Artificial Plumier Rubric Hawaiian Flower Petals Hair Hat Wreath Floral Hawaiian Foam Frangi...,5000,Home Furnishing,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/51cSpXccqGL._AC_UL320_.jpg
